Movie Names,Release Year,Movie Genres,Movie IMDb Ratings,Movie URL,Movie Streaming Service,Duration
Badland Hunters,2024,Adventure,5.1 (2k),https://www.justwatch.com/in/movie/badland-hunters,Netflix,105 min
Extra,2023,Historical Drama,6.1 (4k),https://www.justwatch.com/in/movie/extra,Provider not found,110 min
Upgraded,2024,Action,8.0 (91k),https://www.justwatch.com/in/movie/upgraded,Amazon Prime Video,130 min
The Holdovers,2023,Comedy,6.6 (41k),https://www.justwatch.com/in/movie/the-holdovers,Provider not found,115 min
Rocky Aur Rani Ki Prem Kahani,2023,Romance,6.0 (11k),https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani,Amazon Prime Video,140 min
Yaariyan 2,2023,Drama,6.0 (19k),https://www.justwatch.com/in/movie/yaariyan-2,Provider not found,130 min
Starfish,2023,Drama,8.2 (71k),https://www.justwatch.com/in/movie/starfish-2023,Netflix,115 min
Uri: The Surgical Strike,2019,Action,7.5 (2k),https://www.justwatch.com/in/movie/uri-the-surgical-strike,Zee5,138 min
Three of Us,2023,Drama,8.8 (2m),https://www.justwatch.com/in/movie/three-of-us,Netflix,105 min
Inception,2010,Sci-Fi,8.3 (5k),https://www.justwatch.com/in/movie/inception,Apple TV,148 min
Chittha,2023,Thriller,8.0 (8k),https://www.justwatch.com/in/movie/chittha,Hotstar,135 min
Atharva,2023,Action,7.6 (27k),https://www.justwatch.com/in/movie/atharva,Amazon Prime Video,120 min
Kho Gaye Hum Kahan,2023,Drama,6.3 (35k),https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,Netflix,110 min
The Family Plan,2023,Drama,8.1 (8k),https://www.justwatch.com/in/movie/the-family-plan,Apple TV Plus,125 min
Jigarthanda DoubleX,2023,Action,6.4 (107k),https://www.justwatch.com/in/movie/jigarthanda-doublex,Netflix,140 min
Napoleon,2023,Drama,8.3 (43k),https://www.justwatch.com/in/movie/napoleon-2023,Apple TV,120 min
Godzilla Minus One,2023,Sci-Fi,7.8,https://www.justwatch.com/in/movie/godzilla-minus-one,Provider not found,140 min
Warning 2,2024,Drama,6.4 (5k),https://www.justwatch.com/in/movie/warning-2,Provider not found,110 min
The Passenger,2023,Thriller,6.8 (138k),https://www.justwatch.com/in/movie/the-passenger-2023,Amazon Prime Video,105 min
The Creator,2023,Sci-Fi,6.1 (18k),https://www.justwatch.com/in/movie/the-creator,Apple TV,135 min
The Kid Who Would Be King,2019,Fantasy,5.2 (22k),https://www.justwatch.com/in/movie/the-kid-who-would-be-king,Hotstar,120 min
Gadar 2,2023,Historical Drama,7.0 (5k),https://www.justwatch.com/in/movie/gadar-2,Zee5,130 min
Kannagi,2023,Sci-Fi,6.8 (515k),https://www.justwatch.com/in/movie/kannagi,Amazon Prime Video,115 min
Aquaman,2018,Action,7.0 (2k),https://www.justwatch.com/in/movie/aquaman,Apple TV,143 min
20.000 Species of Bees,2023,Documentary,8.4 (1m),https://www.justwatch.com/in/movie/20-000-species-of-bees,Provider not found,95 min
